"aX","aY","aZ","gX","gY","gZ"
"0.412","-0.766","1.979","-49.133","-12.085","-28.87"
"0.141","-1.113","2.301","-44.861","-5.066","-30.029"
"-0.271","-1.54","2.805","-38.635","1.526","-22.827"
"-0.786","-1.996","3.544","-43.091","16.907","-16.785"
"-1.305","-2.602","4","-53.894","58.716","-33.569"
"-1.387","-2.912","4","-54.077","124.39","43.884"
"-1.484","-1.962","4","-40.71","227.478","143.738"
"-1.495","-0.841","3.996","-10.986","340.515","208.801"
"-1.319","-0.282","3.059","21.118","432.922","227.661"
"-1.085","0.126","2.196","47.913","485.352","229.98"
"-0.749","0.664","1.456","64.819","514.648","235.779"
"-0.542","1.181","0.611","76.172","535.583","237.366"
"-0.406","1.37","-0.285","75.745","540.649","222.107"
"-0.254","1.312","-0.936","61.34","510.925","195.557"
"-0.144","1.263","-1.184","41.443","449.768","162.598"
"-0.127","1.202","-1.206","26.184","381.042","133.179"
"-0.102","1.035","-1.066","17.944","314.148","107.056"
"-0.094","0.865","-0.999","18.494","261.78","87.769"
"-0.102","0.744","-1.074","24.902","223.816","77.271"
"-0.097","0.611","-1.091","31.494","185.181","70.923"
"-0.024","0.479","-0.76","35.889","140.686","64.758"
"0.113","0.469","-0.344","37.476","108.521","61.951"
"0.263","0.673","-0.111","36.865","102.051","64.636"
"0.307","0.918","-0.062","37.903","106.14","61.523"
"0.279","0.825","-0.172","43.03","107.3","43.03"
"0.255","0.464","-0.265","41.382","99.304","21.423"
"0.275","0.191","-0.27","34.973","80.383","15.93"
"0.334","0.231","-0.122","28.931","54.81","25.208"
"0.392","0.358","0.056","26.733","32.166","34.302"
"0.446","0.305","0.072","26.367","18.738","35.095"
"0.482","0.214","0.084","23.376","8.545","35.339"
"0.539","0.25","0.242","15.869","-1.282","39.307"
"0.613","0.382","0.374","10.01","-2.747","42.908"
"0.677","0.483","0.321","8.484","6.348","41.077"
"0.722","0.543","0.141","10.01","15.869","34.851"
"0.767","0.555","0.059","12.268","14.648","26.611"
