"aX","aY","aZ","gX","gY","gZ"
"2.708","0.872","-0.626","-45.288","-34.058","-9.705"
"3.027","0.862","-0.943","-44.8","-41.26","-29.114"
"3.138","0.766","-1.143","-58.044","-40.894","-52.185"
"3.072","0.658","-1.584","-83.13","-27.1","-71.289"
"2.985","0.771","-2.322","-112","-12.512","-79.163"
"2.929","1.148","-2.871","-139.954","-29.236","-80.017"
"2.665","1.3","-2.92","-154.663","-80.017","-91.248"
"2.098","0.761","-2.792","-149.475","-142.151","-117.493"
"1.432","0.029","-2.458","-138.672","-201.599","-132.629"
"0.89","0.123","-1.785","-134.949","-254.15","-120.911"
"0.422","1.248","-1.057","-135.681","-290.649","-94.849"
"-0.272","1.417","-0.327","-135.62","-313.904","-108.948"
"-1.11","0.604","0.428","-150.085","-310.547","-151.672"
"-2.053","0.787","0.963","-170.715","-285.217","-151.978"
"-2.461","1.074","1.345","-152.588","-284.912","-131.47"
"-2.64","0.889","1.902","-125.671","-307.983","-129.456"
"-2.86","0.952","2.292","-120.667","-301.086","-118.286"
"-3.107","0.446","2.543","-95.215","-292.358","-109.131"
"-3.015","-0.335","3.236","-48.523","-305.969","-99.915"
"-2.926","-0.418","3.95","-22.949","-291.626","-66.345"
"-2.658","-0.086","3.847","-25.024","-223.694","-25.513"
"-2.214","0.363","3.903","-34.18","-162.659","3.784"
"-1.837","0.274","3.977","-39.246","-112.976","13.306"
"-1.37","0.395","3.044","-49.561","-41.138","13.672"
"-1.029","-0.024","2.48","-63.293","15.32","5.737"
"-0.657","-0.278","1.958","-80.017","51.697","7.385"
"-0.314","-0.004","0.872","-91.125","101.196","22.583"
"-0.081","0.181","0.238","-95.581","116.455","24.78"
"0.065","-0.013","0.044","-83.618","98.022","17.029"
"0.158","0.086","-0.042","-67.81","70.923","20.813"
"0.277","0.31","0.011","-56.213","52.002","28.137"
"0.32","0.515","0.016","-47.546","38.025","29.846"
"0.333","0.609","0.161","-39.551","24.231","24.902"
"0.328","0.68","0.368","-29.602","10.925","16.663"
"0.284","0.627","0.508","-18.494","4.456","6.226"
"0.189","0.501","0.545","-8.545","3.601","-3.54"
"0.137","0.434","0.565","-2.319","3.052","-9.644"
"0.096","0.345","0.633","1.404","0.977","-13.855"
"0.104","0.239","0.766","3.723","-1.831","-15.686"
"0.105","0.186","0.828","4.7","-0.488","-12.817"
"0.114","0.19","0.77","4.578","3.296","-7.324"
"0.117","0.166","0.764","4.395","2.808","-2.136"
"0.121","0.111","0.76","2.502","0.427","1.465"
"0.141","0.139","0.719","-1.282","-0.549","7.935"
"0.136","0.19","0.723","-3.052","-5.066","13.611"
"0.191","0.23","0.764","-3.174","-12.085","17.639"
