"aX","aY","aZ","gX","gY","gZ"
"-0.876","-1.6","1.043","-67.078","-125","-205.017"
"-0.999","-2.03","1.352","-52.612","-202.087","-183.411"
"-1.12","-2.365","1.88","-58.716","-281.006","-120.3"
"-1.322","-2.484","2.668","-104.309","-348.145","-10.559"
"-1.476","-2.268","3.675","-187.378","-382.263","131.287"
"-1.582","-1.667","4","-281.311","-361.267","292.114"
"-1.611","-0.846","4","-321.838","-270.752","450.5"
"-1.884","0.027","4","-296.875","-117.859","583.191"
"-2.306","0.788","4","-245.789","49.255","676.27"
"-2.628","1.43","4","-165.649","216.98","727.356"
"-2.98","1.954","4","-88.928","370.361","746.582"
"-3.307","2.468","3.576","-42.603","503.052","756.653"
"-3.416","2.907","3.008","-27.832","611.633","724.609"
"-3.507","3.186","2.447","-35.034","694.031","611.755"
"-3.435","3.344","1.854","-45.898","758.423","514.221"
"-3.291","3.339","1.285","-64.758","791.565","392.578"
"-3.067","3.23","0.796","-86.792","795.227","254.15"
"-2.84","2.96","0.327","-107.544","780.029","112.549"
"-2.683","2.565","-0.114","-124.39","748.596","-27.954"
"-2.492","2.154","-0.487","-137.146","699.951","-150.452"
"-2.216","1.764","-0.777","-146.484","633.118","-243.713"
"-2.016","1.433","-0.906","-158.936","548.34","-306.152"
"-1.828","1.141","-0.941","-165.771","458.984","-343.323"
"-1.626","0.915","-0.948","-160.95","374.817","-357.788"
"-1.482","0.731","-0.889","-155.823","295.288","-355.652"
"-1.371","0.579","-0.779","-155.884","222.412","-344.055"
"-1.347","0.466","-0.623","-160.034","160.4","-329.102"
"-1.349","0.37","-0.463","-169.373","113.831","-317.627"
"-1.294","0.271","-0.355","-178.284","81.604","-313.11"
"-1.229","0.165","-0.288","-181.213","57.068","-312.012"
"-1.201","0.084","-0.249","-180.359","37.292","-309.021"
"-1.159","0.005","-0.194","-183.167","20.569","-305.42"
"-1.128","-0.082","-0.125","-190.186","6.042","-302.185"
"-1.104","-0.167","-0.06","-199.768","-3.906","-298.035"
"-1.041","-0.242","0.002","-210.937","-10.62","-292.908"
"-1.008","-0.333","0.093","-224.67","-17.456","-289.917"
"-0.96","-0.448","0.162","-235.657","-23.132","-288.391"
"-0.872","-0.562","0.166","-241.089","-25.269","-282.837"
"-0.794","-0.673","0.184","-245.422","-29.602","-271.362"
"-0.778","-0.773","0.225","-248.901","-37.354","-254.395"
"-0.752","-0.871","0.273","-249.939","-45.227","-232.178"
"-0.619","-0.964","0.341","-255.798","-52.002","-205.75"
"-0.48","-1.028","0.391","-262.39","-54.688","-173.767"
"-0.42","-1.057","0.413","-261.902","-55.664","-139.038"
"-0.459","-1.061","0.42","-258.301","-58.105","-104.492"
"-0.494","-1.045","0.415","-254.089","-62.439","-72.388"
"-0.51","-1.016","0.388","-244.69","-69.031","-44.067"
"-0.549","-0.985","0.362","-228.577","-83.008","-20.386"
"-0.6","-0.947","0.38","-206.97","-108.215","-0.854"
"-0.653","-0.892","0.414","-184.082","-138.855","16.174"
"-0.711","-0.843","0.487","-170.471","-172.302","28.992"
"-0.745","-0.824","0.638","-166.504","-208.923","36.621"
"-0.756","-0.818","0.819","-171.021","-240.479","43.213"
"-0.693","-0.805","0.965","-183.044","-260.315","52.49"
"-0.63","-0.773","1.084","-195.129","-275.574","65.186"
"-0.619","-0.72","1.218","-207.397","-292.725","79.163"
"-0.64","-0.658","1.374","-222.534","-309.021","93.933"
"-0.672","-0.594","1.544","-238.403","-321.838","109.07"
"-0.678","-0.519","1.741","-251.77","-331.238","124.695"
"-0.696","-0.429","1.968","-255.676","-338.013","140.198"
"-0.739","-0.329","2.22","-254.333","-337.83","153.198"
"-0.749","-0.238","2.468","-247.07","-326.233","161.072"
"-0.652","-0.178","2.708","-231.506","-301.331","164.551"
"-0.516","-0.127","2.884","-207.397","-261.169","168.152"
"-0.391","-0.056","2.979","-179.26","-208.801","176.025"
"-0.265","0.048","3.006","-147.217","-151.184","188.599"
"-0.21","0.198","2.934","-110.107","-90.393","203.003"
"-0.215","0.356","2.723","-74.829","-28.076","212.463"
"-0.224","0.479","2.455","-40.466","24.17","213.989"
"-0.21","0.57","2.2","-6.958","61.646","209.351"
"-0.226","0.654","1.977","23.865","85.144","200.989"
"-0.212","0.704","1.779","46.57","100.22","186.646"
"-0.245","0.722","1.588","55.359","110.596","164.185"
"-0.176","0.662","1.422","52.734","115.417","136.719"
"-0.059","0.553","1.274","46.997","114.197","112.671"
"0.042","0.467","1.152","41.26","108.826","101.135"
"0.094","0.436","1.049","37.292","98.267","102.6"
"0.148","0.452","0.974","37.903","83.496","112.854"
